article,sentence,keyword,cause/effect,content
7,4,使,cause,梨视频所刊播的50万条优质短视频，,17,1,16
7,4,使,effect,之成为朴实动人的中国故事的叙述者。,17,2,16
7,16,@,cause,泰迪熊移动创始人兼CEO姜燕北表示，本轮融资将主要用于团队和技术升级，联动更多的手机厂商以打破厂商自身的数据天花板，让厂商享受到远高于自身用户数训练出的能力，是泰迪熊移动给手机厂商,90,0,0
7,16,@,effect,的核心价值之一。,8,0,0
9,4,使得,cause,国际奥委会副主席于再清在开幕式上说：“‘为奥运喝彩’博览会,29,20,29
9,4,使得,effect,全国都能学习奥林匹克文化，感受奥林匹克精神，通过文化艺术的方式为更好地理解冬奥会打下基础。”,46,1,12
11,1,@,cause,安徽省发展改革委近日发布了《关于贯彻进一步减负增效纾困解难优化环境,33,0,0
11,1,@,effect,经济持续健康发展若干意见的实施方案》。,19,0,0
11,2,@,cause,据安徽省发展改革委国民经济综合处有关负责人介绍，方案提出要多渠道扩大服务供给，今年要进一步巩固景区门票降价成果，完善价格形成机制、开展成本监审或成本调查，以更大力度、更大范围,87,0,0
11,2,@,effect,降低安徽省国有景区门票价格，实现所有4A级以上国有景区门票价格全面下调。,36,0,0
11,4,@,cause,整合长江中下游沿江旅游资源，打造长江黄金水道等旅游线路，,28,0,0
11,4,@,effect,长三角旅游一体化宣传营销；,13,0,0
12,11,引发,cause,就该法最初的立法动机而言，在后“水门事件”时代的当时，美国政府官员与大公司高管的操守越发,44,28,42
12,11,引发,effect,普通民众与舆论的质疑与不信任，需要政治精英加以“回应”。,28,1,14
12,17,@,cause,这家公司或个人在美国直接或间接地存在某种业务,22,0,0
12,17,@,effect,都会遭遇《反海外腐败法》的制裁。,16,0,0
12,28,导致,cause,而对阿尔斯通公司，美国司法部开出了史无前例的7.7亿美元巨额罚款，最终,35,10,32
12,28,导致,effect,了2015年美国通用电气成功收购法国阿尔斯通。,23,2,22
14,12,@,cause,这个数据是十分惊人的，可能,13,0,0
14,12,@,effect,A股游戏版块18年利润负增长。,15,0,0
14,22,因为,cause,版号冻结，业绩增长乏力，甚至还,15,1,4
14,22,因为,effect,亏损。,3,0,0
16,2,@,cause,,0,0,0
16,2,@,effect,,32,0,0
16,8,使得,cause,,0,0,0
16,8,使得,effect,施密特等买家在经过了漫长等待后终于提到了车。,22,1,21
16,12,@,cause,,0,0,0
16,12,@,effect,覆盖主流买家，解决物流问题尤其重要。,18,0,0
