article,sentence,keyword,cause/effect,content
1,0,使得,cause,,0,0,0
1,0,使得,effect,美联储口锋更为强硬,9,1,9
1,1,@,cause,-许多美联储职员认为耶伦一个有敏锐的头脑高效领导，但她与他人发生的冲突，,36,0,0
1,1,@,effect,一些人对她的领导风格有抵触情绪。,16,0,0
2,0,使得,cause,IMF：欧元区财政整顿可能,13,5,11
2,0,使得,effect,今年经济增长率减少1.0-1.25个百分点。,22,3,9
3,0,使得,cause,日本央行行长黑田东彦：销售税上调将,17,12,16
3,0,使得,effect,2014财年的GDP增速减少0.7个百分点。,22,8,14
4,0,@,cause,穆迪：欧元区GDP增长前景，可能会,17,0,0
4,0,@,effect,更少的欧洲，中东，亚洲企业面临信用下调风险。,22,0,0
5,0,使得,cause,汇丰称，美联储暂缓削减QE和中国经济增长改善,22,5,13,15,22
5,0,使得,effect,新兴市场波动性降低。,10,1,9
6,0,使得,cause,美国财长Lew：参议院行动,13,9,13
6,0,使得,effect,美国信誉面临的不确定性消退；,14,1,13
7,0,使得,cause,穆迪：中国银行业债务的导向将,14,4,13
7,0,使得,effect,高级债权人获益。,8,1,7
8,0,使得,cause,新西兰财长English：财政约束将,18,14,17
8,0,使得,effect,利率走低；,5,1,4
9,4,因此,cause,一方面是曾经的定律消失了，人们变得更理性,20,14,20
9,4,因此,effect,买家没有积累黄金的动力。,12,1,11
10,26,使得,cause,加之北方受雨雪天气影响北材南下运输受阻，到货不及时，导致华南钢材库存下降过快，,39,29,38
10,26,使得,effect,价格出现超预期上涨，出现南北吨价差高达1000元的异常情况。,30,1,9
10,33,推动,cause,当前，去库短周期处于底部区域，需求偏强带来的预期改善将,27,16,26
10,33,推动,effect,钢价超跌回升，钢铁板块估值有望迎来阶段性修复。,23,1,6
11,5,引来,cause,铜：中外经济数据偏弱，,11,3,10
11,5,引来,effect,"对未来宏观经济的持续疲态的担忧,铜价冲高回落。",23,1,15
11,6,使得,cause,智利抗议活动引发市场对铜矿供应的担忧，矿端干扰事件频发,27,20,27
11,6,使得,effect,矿端紧缩进一步加剧，但实际上，短期对铜矿供应影响有限。,27,1,9
11,19,带来,cause,原油：今年以来，国际原油价格在中低区间持续震荡，地缘政治等突发性事件给市场,37,25,34
11,19,带来,effect,更多风险，整体趋势不甚明朗。,14,3,4
11,24,导致,cause,本次病害的发生，其根本原因是胶农没有条件使用足够的化肥，,28,15,27
11,24,导致,effect,橡胶树不健康而容易患病。,12,1,11
11,29,导致,cause,国内豆粕市场与美豆保持较强联动性，成本下降以及需求偏弱导致豆粕市场尚未止跌，尤其是豆油的压榨贡献率提升后，油厂对豆粕挺价动力不足，,65,54,64
11,29,导致,effect,豆粕市场仍可能继续承担美豆下跌压力。,18,1,17
11,31,引发,cause,随着春节前油脂需求高峰期的到来，油脂市场有望保持偏强运行，但需防范市场累积涨幅过大后,42,34,41
11,31,引发,effect,的回吐压力，提高对行情节奏的把握能力。,19,2,5
12,13,@,cause,本次关停产能占比较大，预计一次性全部关停的可能或有限，涉及部分已经产能置换项目,39,0,0
12,13,@,effect,关停概率较大。,7,0,0
12,14,@,cause,此前，由于进口煤限产，直接阻断了国外低价煤对国内煤焦定价的影响，使得焦炭成本支撑,40,0,0
12,14,@,effect,加强。,3,0,0
