article,sentence,keyword,cause/effect,content
1,5,使得,cause,1944年，布雷顿森林体系的建立,7,16,布雷顿森林体系的建立
1,5,使得,effect,美元的“霸权”地位由此确立,1,13,美元的“霸权”地位由此确立
1,7,使得,cause,70多年以来，美元作为世界货币，肩负着国际贸易结算的重要作用，但这也,8,30,美元作为世界货币，肩负着国际贸易结算的重要作用
1,7,使得,effect,美联储货币政策的外溢性大大增强,1,15,美联储货币政策的外溢性大大增强
1,10,使得,cause,当下，美联储收紧货币政策叠加财政加杠杆，,4,19,美联储收紧货币政策叠加财政加杠杆
1,10,使得,effect,美元再次进入全球“割韭菜”的上涨周期,1,18,美元再次进入全球“割韭菜”的上涨周期
1,11,引发,cause,大量新兴经济体的货币承压贬值，借入美债的部门资产负债表恶化，,1,14,16,29,大量新兴经济体的货币承压贬值,借入美债的部门资产负债表恶化
1,11,引发,effect,资本流出,1,4,资本流出
1,12,使得,cause,美元的“霸权”地位无疑加剧了新兴经济体的系统性风险，也,1,25,美元的“霸权”地位无疑加剧了新兴经济体的系统性风险
1,12,使得,effect,多国对美元敬而远之,1,9,多国对美元敬而远之
1,21,使,cause,欧盟委员会主席容克曾在上月表示，欧盟应该团结在一起，共同提升欧元的国际地位，,17,37,欧盟应该团结在一起，共同提升欧元的国际地位
1,21,使,effect,之变成一种可与美元相抗衡的全球储备货币,4,19,一种可与美元相抗衡的全球储备货币
2,1,从而,cause,这一“鸽派”发声使得投资者对欧央行未来实施宽松货币政策的预期升温,11,32,投资者对欧央行未来实施宽松货币政策的预期升温
2,1,从而,effect,引发了资本市场剧烈波动,4,11,资本市场剧烈波动
2,9,使得,cause,经济不振,1,4,经济不振
2,9,使得,effect,欧央行在今年初就中断了其刚刚开始的货币正常化进程,1,24,欧央行在今年初就中断了其刚刚开始的货币正常化进程
2,10,使得,cause,如今持续下滑的数据，更,1,6,如今持续下滑
2,10,使得,effect,市场押注欧央行将在不久后重返“宽松”,1,18,市场押注欧央行将在不久后重返“宽松”
2,16,使得,cause,风险上升，助力金价持续走高近期，全球地缘政治风险升级加之多个经济体央行重返“降息潮”，,1,4,17,26,29,42,风险上升,全球地缘政治风险升级,多个经济体央行重返“降息潮”
2,16,使得,effect,作为避险资产的黄金价格一路走高,1,15,作为避险资产的黄金价格一路走高
